Date,Open,High,Low,Close,Volume,Market Cap
Sep-23-2020,10529.28,10530.33,10180.51,10231.05,24341912905.56,192973686929.95
Sep-22-2020,10415.10,10557.44,10365.73,10531.35,31760586510.96,193612405817.50
Sep-21-2020,10920.99,10982.26,10349.49,10427.88,32049045619.89,197524615883.10
Sep-20-2020,11083.43,11083.43,10779.62,10914.69,27984393947.68,201893765074.58
Sep-19-2020,10933.95,11139.97,10892.87,11076.85,29847423554.19,203594887334.85
Sep-18-2020,10939.78,11018.74,10821.37,10916.97,33299227979.83,201992991337.58
Sep-17-2020,10943.45,11036.74,10767.36,10934.42,38373393891.40,201350751779.82
Sep-16-2020,10782.04,11079.29,10675.82,10946.92,38086295936.34,201366679797.46
Sep-15-2020,10671.46,10926.46,10637.49,10783.00,36621455087.99,199132248074.60
Sep-14-2020,10327.10,10737.48,10252.70,10665.11,31933742977.12,194196335567.50
Sep-13-2020,10441.29,10558.52,10218.64,10315.67,28367164217.13,192127881478.10
Sep-12-2020,10385.23,10476.97,10275.99,10438.38,27091848643.13,191680565611.28
Sep-11-2020,10336.83,10386.96,10215.87,10374.78,32078835059.70,190370332139.13
Sep-10-2020,10222.61,10464.14,10222.61,10334.64,32645377052.38,190999091019.75
Sep-09-2020,10116.67,10335.32,9983.51,10214.15,37822798641.02,188204222607.76
Sep-08-2020,10373.82,10397.84,9893.74,10112.21,40939773951.83,187507101788.05
Sep-07-2020,10248.39,10392.07,9896.30,10356.44,41532337191.22,187748825397.53
Sep-06-2020,10170.04,10339.14,9998.06,10257.23,56682146859.30,188480626407.76
Sep-05-2020,10448.69,10547.92,9902.98,10129.79,47745079004.77,189709036351.38
Sep-04-2020,10158.24,10602.97,10108.68,10473.52,51279765458.54,191811080129.69
Sep-03-2020,11388.87,11435.02,10103.86,10215.67,41460895659.59,203871519785.95
Sep-02-2020,11924.49,11945.58,11231.68,11399.15,40828722689.70,213802951608.04
Sep-01-2020,11650.16,12044.02,11551.45,11921.75,36030623507.37,219184566363.10
Aug-31-2020,11715.38,11764.46,11578.52,11656.00,28817684113.39,215789549308.06
Aug-30-2020,11471.66,11704.64,11468.28,11697.79,25043705473.36,214429322463.50
Aug-29-2020,11502.40,11551.26,11437.27,11485.10,24334715746.67,212233299545.35
Aug-28-2020,11320.18,11504.10,11290.10,11496.83,32588672017.07,211036707877.26
Aug-27-2020,11462.85,11549.17,11188.79,11311.24,32828842214.22,209653734745.61
Aug-26-2020,11338.91,11519.65,11275.79,11463.57,36827771241.81,210613286486.38
Aug-25-2020,11756.70,11761.36,11166.88,11361.55,31693401988.69,212634135184.42
Aug-24-2020,11648.11,11822.06,11601.43,11763.76,27473249747.71,216678337890.02
Aug-23-2020,11680.52,11707.26,11537.63,11653.41,25832518308.66,214622667029.50
Aug-22-2020,11534.75,11687.66,11403.80,11681.16,34813826010.14,213530755733.43
Aug-21-2020,11855.74,11874.02,11511.72,11530.92,31263106135.31,216936115830.44
Aug-20-2020,11742.53,11878.74,11689.24,11866.60,33930368813.69,217781876318.68
Aug-19-2020,11969.19,12007.45,11638.94,11732.41,40374416080.84,217876175357.21
Aug-18-2020,12272.58,12364.52,11892.03,11961.99,42796629888.70,224500807943.60
Aug-17-2020,11892.99,12394.35,11787.63,12285.94,29928688831.41,222199281267.30
Aug-16-2020,11857.11,11912.91,11706.35,11892.68,27103038829.15,218601707688.97
Aug-15-2020,11755.71,11966.49,11755.71,11865.38,31579519762.25,219092295047.45
Aug-14-2020,11765.97,11830.53,11657.29,11742.88,37984318894.68,216718826119.06
Aug-13-2020,11567.07,11773.09,11301.37,11763.01,35020081227.88,213109715698.48
Aug-12-2020,11397.04,11607.74,11238.65,11576.81,42464680750.61,211560773190.07
Aug-11-2020,11885.45,11927.49,11185.18,11395.41,37908458366.06,214723636951.70
Aug-10-2020,11666.67,12031.87,11666.67,11867.87,36150631837.61,219302265535.03
Aug-09-2020,11758.32,11784.91,11539.76,11648.08,27135096720.10,215278340523.58
Aug-08-2020,11592.02,11802.14,11541.27,11728.59,31999650196.17,215438751399.87
Aug-07-2020,11777.54,11885.86,11392.41,11583.16,34481886917.36,216166488274.91
Aug-06-2020,11738.74,11895.07,11574.34,11780.29,37150220757.47,216738012059.81
Aug-05-2020,11196.18,11769.27,11133.73,11732.93,31972193671.73,211293357710.88
Aug-04-2020,11228.30,11391.63,11075.23,11194.55,33863638681.68,207438823629.64
Aug-03-2020,11070.06,11465.34,10998.68,11246.26,35112734940.51,207580399210.98
Aug-02-2020,11797.82,12078.66,10983.15,11073.61,52188598140.95,209079136871.19
Aug-01-2020,11336.03,11848.39,11243.91,11800.39,41384071141.68,213902838533.16
Jul-31-2020,11100.38,11425.72,10978.05,11334.59,32449292482.92,206321493648.37
Jul-30-2020,11084.62,11157.27,10894.51,11109.23,36055471756.48,203287249280.77
Jul-29-2020,10905.33,11282.25,10839.39,11073.30,39989495152.79,204223624325.27
Jul-28-2020,11016.82,11204.31,10644.97,10895.73,63042796645.34,202236990314.96
Jul-27-2020,9921.92,11339.80,9920.00,10996.54,42213334217.12,191974092890.47
Jul-26-2020,9697.52,10073.23,9652.91,9917.36,28010517868.53,181128830062.12
Jul-25-2020,9547.49,9716.61,9534.58,9686.12,21037125903.82,177235876016.74
Jul-24-2020,9600.61,9629.07,9477.72,9545.05,22466772026.64,176100044830.86
Jul-23-2020,9523.66,9627.17,9474.58,9592.96,23101832608.06,175708055735.89
Jul-22-2020,9384.64,9524.32,9306.72,9518.90,19256793736.38,172605073940.35
Jul-21-2020,9162.18,9419.40,9160.24,9385.17,18926176904.53,171487341825.80
Jul-20-2020,9207.29,9212.38,9151.49,9164.07,13940188804.00,169211575088.63
Jul-19-2020,9169.95,9213.29,9119.53,9207.82,11947063843.28,168778549974.80
Jul-18-2020,9156.43,9196.23,9129.38,9170.80,12785910296.41,168882482359.43
Jul-17-2020,9135.11,9176.80,9094.51,9155.77,15270491655.55,168468973413.25
Jul-16-2020,9200.65,9220.83,9058.92,9137.24,16582669314.77,168514199418.18
Jul-15-2020,9253.72,9269.70,9182.05,9206.76,14662526150.23,170079990853.29
Jul-14-2020,9242.64,9273.11,9155.10,9254.20,16272167655.74,170007187866.19
Jul-13-2020,9297.14,9320.46,9217.61,9247.11,14936740773.71,171003296255.53
Jul-12-2020,9230.98,9313.26,9187.86,9286.73,11952544232.06,170437661039.55
Jul-11-2020,9276.58,9283.62,9195.59,9231.32,13061147820.36,170216321880.00
Jul-10-2020,9239.75,9288.71,9141.27,9278.45,16354705418.08,169589057281.64
Jul-09-2020,9428.61,9429.39,9201.80,9240.37,17978271912.03,171942322550.18
Jul-08-2020,9257.37,9453.38,9241.34,9420.35,16333234232.44,172116575807.64
Jul-07-2020,9339.72,9363.36,9220.04,9252.36,17246307333.96,170776445833.59
Jul-06-2020,9077.94,9342.54,9053.66,9342.54,16794093511.51,169604879655.51
Jul-05-2020,9131.50,9137.45,8957.56,9072.77,12978699502.85,166899354329.72
Jul-04-2020,9069.82,9178.14,9053.81,9127.52,12619370983.19,167429731224.07
Jul-03-2020,9081.57,9117.54,9059.79,9065.58,16093715203.20,167474065004.79
Jul-02-2020,9228.08,9253.26,8991.47,9084.05,16368750494.83,168813597933.18
Jul-01-2020,9136.04,9283.11,9102.36,9225.67,15043273940.04,169227695661.83
Jun-30-2020,9179.41,9190.72,9076.06,9145.56,15421116288.98,168532494578.05
Jun-29-2020,9126.12,9219.39,9042.93,9180.16,14838631119.37,167934859484.10
Jun-28-2020,9014.41,9178.96,8961.24,9118.12,16823321855.42,166863119578.07
Jun-27-2020,9162.62,9191.41,8942.43,9014.22,16646055896.97,167950056936.77
Jun-26-2020,9253.79,9290.34,9075.26,9165.50,18745051955.67,169288251679.47
